Year,Month,AGE_BEN_SNDS,BEN_SEX_COD,RAC,FLT_PAI_MNT
2020,8,60,1,161294546.8199468,969884453.3179061
2020,8,60,2,189714845.79995355,783020556.6281519
2020,8,70,1,142276142.5199374,850353762.9586811
2020,8,70,2,177162361.18986666,824806354.1886549
2020,8,80,0,13329.589999999998,43931.22999999999
2020,8,80,1,101659700.16998193,671002367.1594211
2020,8,80,2,193808390.0098607,1061866237.2882863
2020,8,99,0,779.0700000000002,8646668.02
2020,8,99,1,249629.01000000135,2167630.070000061
2020,8,99,2,259510.14000000042,1689376.6900000665
2020,9,0,0,73.59,160.69
2020,9,0,1,221143436.17010507,631918604.0795898
2020,9,0,2,227403310.46010447,577532742.249565
2020,9,20,1,84474795.67002921,282601095.62988764
2020,9,20,2,137745481.4401464,440304156.0794806
2020,9,30,0,0.0,27.0
2020,9,30,1,117792896.08008529,382802813.9397608
2020,9,30,2,192278150.4600929,634766855.3593092
2020,9,40,1,175511015.01006758,542711746.4895998
2020,9,40,2,244474754.38008177,710028386.6791562
2020,9,50,1,236961142.77004528,824537683.2289008
2020,9,50,2,297755429.24012095,931635486.8185761
2020,9,60,1,240670989.88005605,1176784170.7680566
2020,9,60,2,294537581.6201488,1055327120.4280816
2020,9,70,1,207016371.90007845,1064200977.4489377
2020,9,70,2,267305948.22014463,1083217216.0986722
2020,9,80,0,194.92000000000002,1064.4199999999998
2020,9,80,1,130339034.32005382,783017104.079494
2020,9,80,2,239953250.5000655,1226088106.178452
2020,9,99,0,0.0,188176967.46999997
2020,9,99,1,290439.7099999981,13683886.709999513
2020,9,99,2,343633.8699999954,8039499.979999626
2020,10,0,0,721.6100000000001,2536.17
2020,10,0,1,211500537.1501357,609180624.009574
2020,10,0,2,220295058.83015057,569735784.1695395
2020,10,20,1,84048465.01001726,293767649.3998781
2020,10,20,2,139030900.65013704,454558647.0594444
2020,10,30,1,119815801.26007338,399511227.61972046
2020,10,30,2,198263418.33012727,656271687.3191718
2020,10,40,0,0.0,1.7
2020,10,40,1,182489707.27008694,565079604.469531
2020,10,40,2,256521355.87015283,745332462.138996
2020,10,50,0,0.0,76.75999999999999
2020,10,50,1,254226027.11011004,868456457.5487318
2020,10,50,2,317955455.2002314,979862488.0383111
2020,10,60,0,0.0,2956.44
2020,10,60,1,262315373.26012585,1222131929.6771708
2020,10,60,2,318690970.77025974,1106540920.637655
2020,10,70,1,227644394.94012117,1124503507.0485024
2020,10,70,2,289665171.4402516,1134268692.5381432
2020,10,80,0,5275.35,17077.000000000004
2020,10,80,1,140034547.62002933,812183629.8793606
2020,10,80,2,256130521.68013763,1271564523.0577228
2020,10,99,0,1090.23,12850511.350000001
2020,10,99,1,309843.4499999972,3371190.700000066
2020,10,99,2,346700.7699999952,2261448.2200000654
2020,11,0,0,290.0,489.12
2020,11,0,1,209454406.72012782,593546159.9096982
2020,11,0,2,223064542.98015985,555531828.9596107
2020,11,20,1,76826123.9299892,261886252.31991968
2020,11,20,2,130739413.07008587,421760708.0895392
2020,11,30,0,0.0,81.0
2020,11,30,1,114430794.23004153,375058300.10977924
2020,11,30,2,191460601.55013233,630113054.3693241
2020,11,40,0,0.0,205.78
2020,11,40,1,173151067.7800877,539135999.4495921
2020,11,40,2,242352652.96013492,709218103.0191782
2020,11,50,0,0.0,58.05
2020,11,50,1,236886599.83012202,822601586.09881
2020,11,50,2,294787804.09018105,925381369.948483
2020,11,60,0,0.0,52.0
2020,11,60,1,243895205.08013263,1383906124.1066198
2020,11,60,2,293017941.2301924,1041198617.47791
2020,11,70,1,210260284.72010416,1065344536.3285388
2020,11,70,2,264137782.4801866,1051994938.3584167
2020,11,80,1,130509673.86001255,769178141.4893116
2020,11,80,2,239255745.4301369,1210055675.5983055
2020,11,99,0,1200.0,191313518.85000002
2020,11,99,1,281468.909999998,9082650.459999703
2020,11,99,2,327796.38999999675,6989318.799999779
2020,12,0,0,63.0,159.39999999999998
2020,12,0,1,219981386.9000493,593899235.3698441
2020,12,0,2,235095348.4900869,565692556.3797826
2020,12,20,1,83087705.10998121,273223913.56999
2020,12,20,2,135884596.61002412,423529481.0798838
2020,12,30,0,0.0,81.0
2020,12,30,1,119541922.90000165,382142014.34995615
2020,12,30,2,191640909.14005366,611317137.3596113
2020,12,40,0,0.0,54.0
2020,12,40,1,181549033.38003317,544307044.2697703
2020,12,40,2,245158780.60007653,693259664.3795729
2020,12,50,0,0.0,54.0
2020,12,50,1,249450494.20006934,830239225.3495134
2020,12,50,2,299359894.0501386,908295347.6492593
2020,12,60,0,0.0,116669.0
2020,12,60,1,250533604.4300872,2680180820.5074034
2020,12,60,2,292339204.49012107,1012406619.1590009
2020,12,70,1,210134694.68002,1054819705.5893052
2020,12,70,2,256908250.0500763,1021390450.8092773
2020,12,80,1,129484607.11999041,771023026.4598688
2020,12,80,2,232075250.90004298,1193191138.9693482
2020,12,99,0,102078.55999999998,245520446.3799998
2020,12,99,1,292865.95999999926,12599334.019999925
2020,12,99,2,313363.159999998,10803389.58999978
2021,1,0,0,48.0,221.76
2021,1,0,1,203572120.69013345,585709566.0994488
2021,1,0,2,215908330.03013983,552660967.2493992
2021,1,20,1,78630080.04001069,271014190.3498503
2021,1,20,2,131825119.48014927,431406428.1694021
2021,1,30,1,112591004.7600843,382752137.08965546
2021,1,30,2,185595431.4101495,631889722.759137
2021,1,40,0,0.0,81.0
2021,1,40,1,166403630.1300945,541041390.8094839
2021,1,40,2,227883452.16009703,703030747.9589988
2021,1,50,0,0.0,1710.98
2021,1,50,1,227342801.16005993,833640103.7786851
2021,1,50,2,274585368.7001259,920010730.2084379
2021,1,60,0,0.0,81.0
2021,1,60,1,235522187.91008434,1554195118.856021
2021,1,60,2,275651663.6301468,1049395337.2978346
2021,1,70,1,209243571.95008066,1104479984.3284316
2021,1,70,2,255047580.29015356,1081762846.5885327
2021,1,80,1,126631266.98004478,788306761.8793848
2021,1,80,2,229194557.7701103,1229670099.0680017
2021,1,99,0,220916.65,1175807275.2699997
2021,1,99,1,292836.83999999776,89032368.17999965
2021,1,99,2,321145.3599999947,90282721.21999973
2021,2,0,0,-21.92,132.99
2021,2,0,1,198350893.28018644,568495295.9893807
2021,2,0,2,212064797.93022904,545756598.3893523
2021,2,20,1,77728742.62000433,264080889.83987024
2021,2,20,2,131686838.00011677,422368487.78931266
2021,2,30,0,0.0,27127.940000000002
2021,2,30,1,111422123.7000586,369945317.0196467
2021,2,30,2,184467746.5101561,614347594.4990506
2021,2,40,0,0.0,54.0
2021,2,40,1,165396488.4800843,522172941.20939666
2021,2,40,2,229016827.85018826,684665013.4588825
2021,2,50,0,0.0,257.12
2021,2,50,1,227128336.34014365,797792276.828456
